config,physical_machines,services,generations,alpha,beta,latency,energy,placement_physical,placement_vm
config-1,67,24,10,0.1,0.9,43098.71981585849,11567.23436672866,"[50, 23, 55, 30, 51, 2, 8, 0, 27, 1, 63, 14, 30, 15, 50, 14, 49, 63, 42, 33, 43, 61, 13, 4]","[0, 1, 2, 3, 0, 0, 1, 1, 2, 0, 1, 0, 1, 0, 0, 1, 2, 4, 1, 2, 1, 0, 1, 2]"
config-1,67,24,10,0.2,0.8,39669.54852636844,12345.415578764236,"[28, 61, 18, 15, 57, 46, 56, 20, 58, 25, 53, 66, 52, 53, 66, 52, 25, 43, 42, 43, 37, 14, 26, 20]","[0, 1, 2, 3, 0, 1, 2, 3, 0, 1, 2, 0, 1, 2, 1, 1, 2, 2, 1, 1, 2, 4, 0, 0]"
config-1,67,24,10,0.3,0.7,37861.706290217,12993.618530380803,"[13, 63, 57, 40, 14, 24, 45, 8, 41, 18, 16, 51, 30, 53, 7, 18, 58, 57, 30, 30, 41, 40, 17, 60]","[0, 1, 0, 1, 2, 0, 0, 0, 0, 1, 2, 3, 1, 0, 0, 1, 2, 3, 0, 0, 0, 0, 1, 2]"
config-1,67,24,10,0.4,0.6,37122.81104766953,11393.334627911516,"[51, 60, 30, 19, 65, 11, 20, 36, 47, 18, 60, 9, 25, 30, 35, 49, 63, 57, 42, 13, 52, 33, 8, 65]","[0, 1, 0, 1, 2, 0, 1, 2, 0, 1, 2, 3, 0, 1, 2, 2, 0, 1, 2, 4, 0, 1, 1, 2]"
config-1,67,24,10,0.5,0.5,36297.850584214706,11766.218181201264,"[41, 5, 0, 36, 20, 45, 20, 43, 34, 37, 63, 58, 7, 34, 60, 13, 10, 33, 49, 14, 25, 22, 33, 7]","[0, 1, 2, 3, 3, 0, 1, 2, 0, 2, 3, 4, 0, 0, 0, 0, 1, 1, 2, 0, 0, 2, 3, 0]"
config-1,67,24,10,0.6,0.4,39869.26483535735,12692.032556825587,"[7, 24, 11, 12, 49, 4, 2, 32, 64, 14, 21, 2, 54, 29, 2, 4, 65, 21, 29, 27, 17, 55, 16, 60]","[0, 0, 1, 2, 3, 0, 1, 2, 0, 2, 3, 4, 0, 2, 0, 1, 2, 1, 2, 0, 1, 2, 3, 0]"
config-1,67,24,10,0.7,0.3,37193.403038551805,12111.203585754862,"[17, 61, 24, 20, 57, 54, 37, 61, 31, 40, 1, 21, 40, 40, 49, 59, 8, 37, 48, 8, 49, 31, 36, 49]","[0, 1, 2, 3, 0, 0, 1, 0, 1, 2, 1, 0, 1, 2, 3, 0, 0, 1, 2, 3, 0, 0, 2, 3]"
config-1,67,24,10,0.8,0.2,37691.51673583631,12374.565402526328,"[6, 56, 27, 65, 36, 12, 41, 20, 4, 8, 57, 40, 38, 58, 17, 65, 39, 64, 46, 31, 40, 37, 11, 39]","[0, 1, 2, 0, 0, 1, 2, 0, 2, 3, 0, 0, 0, 1, 2, 0, 1, 2, 0, 1, 2, 3, 0, 0]"
config-1,67,24,10,0.9,0.1,36273.74955941229,12196.093657803993,"[43, 61, 11, 40, 65, 45, 9, 24, 57, 6, 47, 36, 39, 34, 9, 45, 18, 31, 37, 66, 8, 37, 38, 49]","[0, 0, 1, 2, 0, 2, 3, 4, 0, 0, 1, 2, 0, 1, 0, 2, 3, 4, 0, 0, 2, 3, 0, 0]"
config-1,67,24,20,0.1,0.9,38238.05456136618,11345.034711011584,"[5, 66, 1, 65, 26, 55, 36, 66, 46, 42, 25, 47, 52, 22, 2, 16, 61, 50, 40, 55, 28, 50, 20, 60]","[0, 1, 2, 3, 4, 0, 0, 0, 1, 2, 3, 4, 1, 1, 2, 1, 1, 0, 1, 2, 0, 1, 3, 1]"
config-1,67,24,20,0.2,0.8,32817.23719885479,11143.074462402148,"[35, 65, 59, 7, 21, 48, 15, 7, 23, 1, 19, 38, 2, 1, 15, 8, 14, 10, 19, 33, 4, 64, 33, 47]","[0, 1, 2, 3, 4, 0, 0, 0, 1, 2, 3, 0, 0, 1, 0, 0, 1, 2, 3, 0, 0, 1, 2, 0]"
config-1,67,24,20,0.3,0.7,36652.853028439786,11052.280202815386,"[4, 53, 1, 14, 37, 50, 57, 8, 59, 46, 21, 23, 5, 5, 51, 65, 44, 62, 61, 58, 29, 16, 45, 65]","[0, 1, 2, 3, 4, 0, 0, 1, 0, 0, 1, 2, 0, 1, 2, 3, 4, 2, 1, 3, 1, 0, 2, 1]"
