config,physical_machines,services,generations,alpha,beta,latency,energy,placement_physical,placement_vm,is_perfect
config-1,67,24,10,0.1,0.9,43839.88154214316,12108.09401286392,"[4, 12, 33, 44, 56, 27, 33, 46, 8, 57, 22, 4, 55, 22, 64, 55, 28, 37, 9, 19, 7, 14, 6, 50]","[0, 2, 2, 0, 0, 1, 2, 1, 0, 0, 0, 2, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1]","[True, True, False, True, True, True, False, True, False, True, True, False, True, False, False, True, True, True, True, True, False, True, False, True]"
config-1,67,24,10,0.2,0.8,42111.717305685335,12658.122346341886,"[30, 32, 50, 3, 34, 36, 4, 8, 3, 1, 25, 51, 3, 18, 41, 29, 42, 38, 48, 40, 36, 2, 37, 45]","[0, 0, 1, 0, 0, 0, 2, 0, 1, 0, 1, 0, 0, 3, 2, 1, 2, 1, 0, 0, 0, 1, 0, 0]","[True, True, False, True, True, True, False, True, False, True, True, False, True, False, True, True, True, True, True, True, False, True, False, True]"
config-1,67,24,10,0.3,0.7,41818.53522288645,12832.034623417572,"[14, 33, 64, 3, 36, 18, 19, 43, 40, 22, 28, 6, 50, 30, 1, 29, 22, 38, 48, 9, 22, 14, 4, 39]","[0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 3, 0, 2, 0]","[True, True, False, True, True, True, False, True, False, True, True, False, True, False, True, True, True, True, True, True, False, True, False, True]"
config-1,67,24,10,0.4,0.6,41774.6649571488,12717.354097058238,"[19, 37, 50, 9, 41, 40, 4, 4, 31, 45, 28, 34, 30, 50, 48, 17, 40, 44, 36, 36, 33, 18, 41, 29]","[0, 0, 1, 0, 0, 0, 2, 0, 2, 0, 1, 4, 0, 1, 3, 2, 1, 0, 0, 0, 2, 0, 2, 1]","[True, True, False, True, True, True, False, True, False, True, True, False, True, False, True, True, True, True, True, True, False, True, False, True]"
config-1,67,24,10,0.5,0.5,40867.25442236875,13104.505983675635,"[35, 28, 33, 18, 3, 14, 37, 48, 6, 44, 64, 6, 0, 41, 1, 18, 19, 31, 4, 45, 3, 41, 34, 51]","[0, 1, 2, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 2, 1, 0, 0, 0, 0, 0, 1, 0, 4, 0]","[True, True, False, True, True, True, False, True, False, True, True, False, True, False, True, True, False, True, True, True, False, True, False, True]"
config-1,67,24,10,0.6,0.4,40543.273560106325,14090.896365223425,"[43, 27, 22, 8, 41, 27, 12, 55, 30, 4, 48, 33, 8, 51, 44, 29, 29, 45, 22, 39, 41, 28, 6, 36]","[0, 1, 3, 0, 0, 1, 3, 0, 0, 0, 0, 2, 0, 0, 2, 1, 1, 0, 0, 0, 2, 1, 1, 0]","[True, True, False, True, True, True, False, True, False, True, True, False, True, False, True, True, True, True, True, True, False, True, False, True]"
config-1,67,24,10,0.7,0.3,40705.11998783679,14098.189323486415,"[19, 34, 6, 50, 22, 1, 36, 7, 48, 1, 37, 45, 45, 3, 48, 41, 6, 33, 18, 3, 31, 38, 41, 37]","[0, 3, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 3, 0, 1, 1, 0, 0, 2, 1, 2, 0]","[True, True, False, True, True, True, False, True, False, True, True, False, True, False, True, True, True, True, True, True, False, True, False, True]"
config-1,67,24,10,0.8,0.2,41333.0349419461,15485.459005112496,"[14, 7, 29, 3, 12, 30, 64, 10, 45, 19, 64, 42, 3, 12, 7, 18, 6, 64, 46, 3, 36, 3, 42, 3]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 0, 0, 1, 0, 1, 0, 0, 0, 4, 0]","[True, True, False, True, True, True, False, True, False, True, True, False, True, False, False, True, True, True, True, True, False, True, False, True]"
config-1,67,24,10,0.9,0.1,39796.65127600396,15711.0881379708,"[31, 18, 6, 45, 3, 46, 41, 7, 42, 7, 64, 45, 24, 41, 29, 48, 3, 14, 55, 16, 12, 43, 45, 29]","[0, 0, 1, 0, 0, 1, 2, 0, 4, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 1, 3, 0, 0, 1]","[True, True, False, True, True, True, False, True, False, True, True, False, True, False, True, True, True, True, True, True, False, False, False, True]"
config-1,67,24,20,0.1,0.9,41172.208766027616,11182.628867402214,"[36, 42, 42, 4, 48, 44, 33, 57, 41, 55, 64, 50, 9, 40, 64, 36, 25, 28, 16, 3, 6, 7, 4, 37]","[0, 2, 2, 0, 0, 0, 2, 0, 2, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 2, 0]","[True, True, True, True, True, True, False, True, False, True, True, False, True, False, False, True, True, True, True, True, False, True, False, True]"
config-1,67,24,20,0.2,0.8,41102.727286657646,11533.364895195458,"[4, 37, 42, 55, 36, 30, 64, 3, 31, 32, 16, 42, 8, 40, 48, 25, 33, 7, 57, 8, 34, 22, 64, 28]","[0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 1, 4, 0, 1, 3, 1, 2, 0, 0, 0, 4, 0, 0, 1]","[True, True, True, True, True, True, False, True, False, True, True, False, True, False, True, True, True, True, True, True, False, True, False, True]"
config-1,67,24,20,0.3,0.7,38973.88067053636,12380.032787530787,"[57, 42, 50, 31, 29, 35, 40, 22, 7, 40, 18, 41, 37, 42, 42, 36, 38, 16, 28, 8, 6, 14, 34, 3]","[0, 2, 1, 0, 1, 1, 1, 0, 0, 0, 0, 2, 0, 4, 2, 0, 1, 1, 1, 0, 1, 0, 4, 0]","[True, True, False, True, True, True, False, True, False, True, True, False, True, False, True, True, True, True, True, True, False, True, False, True]"
config-1,67,24,20,0.4,0.6,40012.449510495004,11965.106241617515,"[6, 1, 22, 18, 7, 15, 42, 8, 33, 31, 28, 19, 37, 41, 48, 48, 42, 38, 51, 4, 45, 32, 40, 25]","[0, 1, 3, 0, 0, 1, 4, 0, 2, 0, 1, 0, 0, 2, 3, 0, 2, 1, 0, 0, 0, 0, 1, 1]","[True, True, False, True, True, True, False, True, False, True, True, False, True, False, True, True, True, True, True, True, False, True, False, True]"
config-1,67,24,20,0.5,0.5,38798.459272225395,12475.269333606728,"[45, 15, 14, 48, 57, 31, 6, 31, 40, 4, 29, 41, 37, 19, 42, 7, 42, 64, 28, 5, 41, 38, 4, 36]","[0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 2, 0, 0, 2, 0, 2, 0, 1, 0, 2, 1, 2, 0]","[True, True, False, True, True, True, False, True, False, True, True, False, True, False, True, True, True, True, True, True, False, True, False, True]"
config-1,67,24,20,0.6,0.4,37742.79078576506,13152.402371761957,"[9, 35, 33, 19, 3, 22, 6, 32, 41, 36, 28, 4, 14, 42, 1, 37, 28, 27, 29, 18, 36, 28, 22, 7]","[0, 2, 2, 0, 0, 0, 1, 0, 2, 0, 1, 2, 0, 4, 1, 0, 1, 1, 1, 0, 0, 1, 3, 0]","[True, True, False, True, True, True, False, True, False, True, True, False, True, False, True, True, True, True, True, True, False, True, False, True]"
config-1,67,24,20,0.7,0.3,37701.15265450217,13926.061694362434,"[14, 48, 6, 64, 3, 19, 57, 48, 34, 37, 1, 6, 9, 8, 34, 14, 42, 32, 18, 31, 45, 2, 36, 36]","[0, 0, 1, 0, 0, 0, 0, 0, 4, 0, 1, 1, 0, 0, 4, 0, 2, 0, 0, 0, 0, 1, 0, 0]","[True, True, False, True, True, True, False, True, False, True, True, False, True, False, True, True, True, True, True, True, False, True, False, True]"
config-1,67,24,20,0.8,0.2,38219.86176362021,14646.949155290755,"[32, 38, 34, 19, 29, 48, 6, 31, 42, 14, 27, 6, 36, 29, 41, 48, 42, 45, 36, 48, 22, 45, 32, 57]","[0, 1, 4, 0, 1, 0, 1, 0, 4, 0, 1, 1, 0, 1, 2, 0, 2, 0, 0, 0, 3, 0, 3, 0]","[True, True, True, True, True, True, False, True, False, True, True, False, True, False, True, True, True, True, True, True, False, True, False, True]"
