config,physical_machines,services,generations,alpha,beta,latency,energy,placement_physical,placement_vm,is_perfect
config-1,4,24,10,0.1,0.9,180905.6623483412,27847.4249433979,"[2, 3, 1, 1, 3, 0, 1, 0, 0, 3, 3, 0, 0, 3, 1, 0, 1, 2, 3, 1, 2, 0, 0, 3]","[0, 3, 4, 4, 3, 1, 4, 3, 3, 0, 3, 3, 2, 1, 4, 3, 4, 2, 3, 0, 2, 3, 3, 3]","[True, False, False, False, False, True, False, False, False, True, False, False, True, True, False, False, False, False, False, True, False, False, False, False]"
config-1,4,24,10,0.2,0.8,183141.25795858202,27313.959296233323,"[2, 3, 1, 0, 1, 0, 3, 1, 0, 3, 1, 3, 0, 1, 3, 2, 1, 2, 0, 3, 0, 2, 3, 0]","[0, 3, 4, 3, 4, 1, 3, 4, 3, 0, 4, 3, 2, 0, 3, 2, 4, 2, 3, 1, 3, 2, 3, 3]","[True, False, False, False, False, True, False, False, False, True, False, False, True, True, False, False, False, False, False, True, False, False, False, False]"
config-1,4,24,10,0.3,0.7,173089.3120013866,30692.642340177186,"[0, 3, 1, 1, 3, 0, 1, 0, 3, 2, 3, 1, 0, 1, 3, 0, 2, 0, 1, 3, 0, 0, 1, 3]","[0, 3, 4, 4, 3, 1, 4, 3, 3, 2, 3, 4, 2, 0, 3, 3, 2, 3, 4, 0, 3, 3, 4, 3]","[True, False, False, False, False, True, False, False, False, False, False, False, True, True, False, False, False, False, False, True, False, False, False, False]"
config-1,4,24,10,0.4,0.6,167202.47352852457,32209.465398571814,"[0, 2, 3, 1, 3, 1, 3, 1, 0, 0, 3, 3, 0, 1, 0, 0, 3, 0, 0, 1, 1, 1, 0, 1]","[0, 2, 3, 4, 3, 0, 3, 4, 3, 1, 3, 3, 2, 4, 3, 3, 3, 3, 3, 4, 4, 4, 3, 4]","[True, False, False, False, False, True, False, False, False, True, False, False, True, False, False, False, False, False, False, False, False, False, False, False]"
config-1,4,24,10,0.5,0.5,157514.50974383642,40216.11730199663,"[0, 0, 3, 1, 0, 1, 3, 0, 0, 1, 3, 3, 1, 1, 1, 0, 3, 0, 1, 1, 1, 1, 0, 3]","[0, 3, 3, 4, 3, 0, 3, 3, 3, 4, 3, 3, 4, 4, 4, 3, 3, 3, 4, 4, 4, 4, 3, 3]","[True, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
config-1,4,24,10,0.6,0.4,154144.8215677801,45071.00516186335,"[0, 3, 1, 1, 3, 1, 0, 0, 1, 1, 0, 3, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 3]","[0, 3, 4, 4, 3, 0, 3, 3, 4, 4, 3, 3, 4, 4, 3, 4, 3, 3, 4, 4, 4, 4, 4, 3]","[True, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
config-1,4,24,10,0.7,0.3,155555.56689533597,45008.00266623073,"[0, 0, 0, 3, 0, 1, 0, 1, 1, 1, 0, 3, 1, 1, 1, 1, 3, 0, 1, 1, 1, 0, 1, 3]","[0, 3, 3, 3, 3, 0, 3, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 3, 4, 4, 4, 3, 4, 3]","[True, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
config-1,4,24,10,0.8,0.2,152886.76689642243,50251.90748880143,"[0, 3, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 3, 1, 0, 3, 0, 1, 1, 1, 3, 1]","[0, 3, 4, 4, 3, 0, 4, 4, 4, 4, 3, 3, 4, 4, 3, 4, 3, 3, 3, 4, 4, 4, 3, 4]","[True, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
config-1,4,24,10,0.9,0.1,148175.15873332298,75438.14535635928,"[0, 1, 1, 1, 0, 1, 3, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 3]","[0, 4, 4, 4, 3, 0, 3, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 3]","[True, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
config-1,4,24,20,0.1,0.9,184136.34268806034,26908.61581728453,"[2, 2, 3, 0, 1, 0, 1, 0, 0, 3, 1, 0, 0, 1, 0, 3, 1, 0, 2, 3, 3, 3, 3, 3]","[0, 2, 3, 3, 4, 1, 4, 3, 3, 0, 4, 3, 2, 0, 3, 3, 4, 3, 2, 1, 3, 3, 3, 3]","[True, False, False, False, False, True, False, False, False, True, False, False, True, True, False, False, False, False, False, True, False, False, False, False]"
config-1,4,24,20,0.2,0.8,177163.97242807396,28177.067326712393,"[0, 3, 0, 1, 2, 0, 2, 0, 1, 3, 0, 3, 0, 1, 3, 1, 3, 1, 3, 3, 1, 0, 0, 1]","[0, 3, 3, 4, 2, 1, 2, 3, 4, 0, 3, 3, 2, 0, 3, 4, 3, 4, 3, 1, 4, 3, 3, 4]","[True, False, False, False, False, True, False, False, False, True, False, False, True, True, False, False, False, False, False, True, False, False, False, False]"
config-1,4,24,20,0.3,0.7,174020.6533459373,28809.40220832025,"[0, 2, 3, 1, 3, 0, 2, 1, 1, 0, 3, 3, 0, 3, 3, 0, 1, 0, 0, 1, 1, 0, 1, 0]","[0, 2, 3, 4, 3, 1, 2, 4, 4, 3, 3, 3, 2, 0, 3, 3, 4, 3, 3, 0, 4, 3, 4, 3]","[True, False, False, False, False, True, False, False, False, False, False, False, True, True, False, False, False, False, False, True, False, False, False, False]"
config-1,4,24,20,0.4,0.6,163019.0861592422,34015.75279155462,"[0, 2, 0, 1, 3, 1, 3, 0, 0, 1, 0, 3, 1, 1, 3, 1, 1, 0, 3, 0, 1, 1, 1, 0]","[0, 2, 3, 4, 3, 0, 3, 3, 3, 4, 3, 3, 4, 4, 3, 4, 4, 3, 3, 1, 4, 4, 4, 3]","[True, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False]"
