config,physical_machines,services,generations,alpha,beta,latency,energy,placement_physical,placement_vm,is_perfect
config-1,4,8,0,0.5,0.5,9491.245128760595,1885.9354357441348,[1 1 0 0 1 0 0 0],[0 0 0 0 0 0 0 0],"[True, True, True, True, True, True, True, True]"
config-2,4,7,0,0.5,0.5,13373.662769693567,4240.428610797237,[1 1 0 0 1 0 0],[0 0 0 0 0 0 0],"[True, True, True, True, True, True, True]"
config-3,3,5,0,0.5,0.5,6501.891044017978,1207.6795250852956,[1 1 0 0 1],[0 0 0 0 0],"[True, True, True, True, True]"
config-4,4,7,0,0.5,0.5,36737.17115118749,19466.032653575327,[1 1 0 0 1 0 0],[0 0 0 0 0 0 0],"[True, True, True, False, True, True, True]"
config-5,4,8,0,0.5,0.5,39268.63538874242,20058.963890624713,[1 1 0 0 1 0 0 0],[0 0 0 0 0 0 0 0],"[True, True, True, False, True, True, True, True]"
config-6,4,6,0,0.5,0.5,8054.459735309377,1369.2982162003796,[1 1 0 0 1 0],[0 0 0 0 0 0],"[True, True, True, False, True, True]"
config-7,3,7,0,0.5,0.5,34427.25104529731,14302.814977153645,[1 1 0 0 1 0 0],[0 0 0 0 0 0 0],"[True, True, False, True, True, True, True]"
config-8,3,7,0,0.5,0.5,12161.778529826226,2776.8714390034065,[1 1 0 0 1 0 0],[0 0 0 0 0 0 0],"[True, True, False, True, True, True, True]"
config-9,3,6,0,0.5,0.5,16439.908487227796,3724.809342200835,[1 1 0 0 1 0],[0 0 0 0 0 0],"[True, True, True, True, True, True]"
config-10,4,5,0,0.5,0.5,7472.391142243024,2189.611717678834,[1 1 0 0 1],[0 0 0 0 0],"[True, True, True, True, True]"
config-11,3,8,0,0.5,0.5,18744.084904978765,5257.725857996987,[1 1 0 0 1 0 0 0],[0 0 0 0 0 0 0 0],"[True, True, False, True, True, True, True, True]"
config-12,4,5,0,0.5,0.5,10364.7392855103,2941.913859691411,[1 1 0 0 1],[0 0 0 0 0],"[True, True, True, True, True]"
config-13,3,5,0,0.5,0.5,8994.273400591317,2349.873836635893,[1 1 0 0 1],[0 0 0 0 0],"[True, True, True, True, True]"
config-14,3,6,0,0.5,0.5,27488.217564684346,11097.497091347244,[1 1 0 0 1 0],[0 0 0 0 0 0],"[True, True, False, True, True, True]"
config-15,3,5,0,0.5,0.5,18271.579469837383,4420.591648215105,[1 1 0 0 1],[0 0 0 0 0],"[True, True, False, True, True]"
config-16,3,6,0,0.5,0.5,28754.86466575517,4287.319078752183,[1 1 0 0 1 0],[0 0 0 0 0 0],"[True, True, False, True, True, True]"
config-17,3,8,0,0.5,0.5,18817.519037876133,9521.813649537584,[1 1 0 0 1 0 0 0],[0 0 0 0 0 0 0 0],"[True, True, True, True, True, True, True, True]"
config-18,3,5,0,0.5,0.5,6150.719114270714,810.7374500017249,[1 1 0 0 1],[0 0 0 0 0],"[True, True, True, True, True]"
config-19,3,5,0,0.5,0.5,11216.96144977603,2942.9979878820113,[1 1 0 0 1],[0 0 0 0 0],"[True, True, True, True, True]"
config-20,3,5,0,0.5,0.5,8789.185716377378,2678.1416201265524,[1 1 0 0 1],[0 0 0 0 0],"[True, True, True, True, True]"
config-21,3,7,0,0.5,0.5,37743.36711406694,10436.886643838081,[1 1 0 0 1 0 0],[0 0 0 0 0 0 0],"[True, True, False, True, True, True, True]"
config-22,4,8,0,0.5,0.5,9966.881417171275,2473.0934384497564,[1 1 0 0 1 0 0 0],[0 0 0 0 0 0 0 0],"[True, True, True, True, True, True, True, True]"
config-23,3,8,0,0.5,0.5,15883.827487828661,2963.468298270966,[1 1 0 0 1 0 0 0],[0 0 0 0 0 0 0 0],"[True, True, False, True, True, True, True, True]"
config-24,4,8,0,0.5,0.5,6780.7461601415225,3684.5043813361135,[1 1 0 0 1 0 0 0],[0 0 0 0 0 0 0 0],"[True, True, True, True, True, True, True, True]"
config-25,3,5,0,0.5,0.5,17891.62940299198,3029.7203079061755,[1 1 0 0 1],[0 0 0 0 0],"[True, True, False, True, True]"
config-26,4,7,0,0.5,0.5,10703.298021544557,4217.008856533261,[1 1 0 0 1 0 0],[0 0 0 0 0 0 0],"[True, True, True, True, True, True, True]"
config-27,3,7,0,0.5,0.5,29812.32321859044,5755.995280514704,[1 1 0 0 1 0 0],[0 0 0 0 0 0 0],"[True, True, False, True, True, True, True]"
config-28,4,7,0,0.5,0.5,5844.453661188927,2320.0232377782095,[1 1 0 0 1 0 0],[0 0 0 0 0 0 0],"[True, True, True, True, True, True, True]"
config-29,4,7,0,0.5,0.5,25028.629144039412,6746.050935158398,[1 1 0 0 1 0 0],[0 0 0 0 0 0 0],"[True, True, True, False, True, True, True]"
config-30,4,5,0,0.5,0.5,17999.20236581864,3156.00368368575,[1 1 0 0 1],[0 0 0 0 0],"[True, True, True, False, True]"
config-31,4,5,0,0.5,0.5,21426.40481526939,3312.643694102054,[1 1 0 0 1],[0 0 0 0 0],"[True, True, True, False, True]"
config-32,3,5,0,0.5,0.5,22764.115259734182,6110.59889308828,[1 1 0 0 1],[0 0 0 0 0],"[True, True, False, True, True]"
config-33,4,7,0,0.5,0.5,7260.43810990961,1533.429518369708,[1 1 0 0 1 0 0],[0 0 0 0 0 0 0],"[True, True, True, True, True, True, True]"
config-34,4,6,0,0.5,0.5,20110.696645018248,3641.1951421587155,[1 1 0 0 1 0],[0 0 0 0 0 0],"[True, True, True, False, True, True]"
config-35,4,7,0,0.5,0.5,17468.17687551226,8684.436046512074,[1 1 0 0 1 0 0],[0 0 0 0 0 0 0],"[True, True, True, True, True, True, True]"
config-36,4,7,0,0.5,0.5,24463.19563040665,7271.483729471106,[1 1 0 0 1 0 0],[0 0 0 0 0 0 0],"[True, True, True, False, True, True, True]"
config-37,4,5,0,0.5,0.5,35302.47798811163,11882.860073867392,[1 1 0 0 1],[0 0 0 0 0],"[True, True, True, False, True]"
