config,physical_machines,services,generations,alpha,beta,latency,energy,placement_physical,placement_vm
config-1,4,24,10,0.1,0.9,609625.3775462593,677.1832934072193,"[2, 2, 2, 2, 2, 0, 2, 2, 0, 2, 2, 2, 0, 3, 2, 2, 3, 2, 3, 1, 2, 2, 2, 2]","[0, 1, 0, 0, 0]"
config-1,4,24,10,0.2,0.8,597915.67618432,854.2641649978458,"[0, 2, 2, 2, 2, 1, 2, 0, 2, 3, 2, 2, 2, 3, 2, 2, 0, 2, 2, 0, 2, 2, 2, 2]","[0, 0, 0, 1, 1, 1]"
config-1,4,24,10,0.3,0.7,621400.6296616915,668.1720997186962,"[2, 0, 0, 0, 2, 0, 2, 2, 2, 1, 2, 2, 0, 3, 0, 3, 2, 2, 2, 2, 2, 0, 2, 2]","[0, 1, 0, 0, 0]"
config-1,4,24,10,0.4,0.6,612047.3898507982,705.8163514475049,"[0, 2, 2, 0, 2, 0, 2, 2, 2, 1, 2, 2, 2, 3, 0, 2, 2, 2, 2, 2, 0, 0, 2, 2]","[0, 1, 0, 1, 0]"
config-1,4,24,10,0.5,0.5,609337.840603289,806.7287835749491,"[2, 2, 2, 2, 2, 3, 2, 2, 0, 0, 2, 2, 0, 3, 2, 0, 2, 0, 2, 1, 2, 0, 2, 3]","[0, 1, 1, 0, 0, 0]"
config-1,4,24,10,0.6,0.4,607577.7986149819,813.6391932555712,"[2, 2, 2, 2, 2, 1, 2, 2, 3, 3, 2, 2, 0, 0, 2, 2, 0, 2, 2, 3, 0, 2, 0, 2]","[0, 0, 0, 0, 1, 1]"
config-1,4,24,10,0.7,0.3,615737.8975214044,806.7287835749491,"[2, 2, 2, 2, 2, 3, 3, 0, 2, 0, 0, 2, 0, 3, 2, 2, 0, 0, 2, 1, 2, 0, 2, 2]","[0, 1, 1, 0, 0, 0]"
config-1,4,24,10,0.8,0.2,610601.9688930132,813.6391932555712,"[2, 2, 2, 0, 2, 1, 2, 2, 2, 3, 2, 2, 0, 0, 2, 0, 3, 2, 0, 3, 2, 2, 2, 0]","[0, 0, 0, 0, 1, 1]"
config-1,4,24,10,0.9,0.1,596475.9563641045,806.7287835749491,"[2, 2, 2, 2, 0, 3, 2, 2, 2, 0, 2, 2, 0, 3, 2, 2, 2, 2, 2, 1, 3, 2, 2, 2]","[0, 1, 1, 0, 0, 0]"
config-1,4,24,20,0.1,0.9,580528.538531499,805.1908298809597,"[2, 2, 2, 2, 2, 1, 2, 2, 2, 0, 2, 2, 0, 3, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2]","[0, 0, 1, 0, 0, 1]"
config-1,4,24,20,0.2,0.8,580528.538531499,805.1908298809597,"[2, 2, 2, 2, 2, 1, 2, 2, 2, 0, 2, 2, 0, 3, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2]","[0, 0, 1, 0, 0, 1]"
config-1,4,24,20,0.3,0.7,580556.6341829022,807.5669791190223,"[2, 2, 2, 2, 2, 3, 2, 2, 2, 0, 2, 2, 0, 1, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2]","[0, 1, 1, 0, 0, 0]"
config-1,4,24,20,0.4,0.6,584830.7207322827,677.1832934072193,"[2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 0, 3, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2]","[0, 1, 0, 0, 0]"
config-1,4,24,20,0.5,0.5,590154.6099114389,667.0671020787524,"[2, 2, 2, 2, 2, 0, 2, 2, 2, 3, 2, 2, 0, 1, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2]","[0, 1, 0, 0, 0]"
