config,physical_machines,services,generations,alpha,beta,latency,energy,placement_physical,placement_vm,is_perfect
config-1,40,24,10,0.1,0.9,47299.57886260245,9825.551870920883,"[29, 34, 10, 4, 11, 27, 5, 23, 32, 37, 21, 1, 20, 12, 14, 39, 32, 22, 24, 21, 21, 39, 12, 14]","[0, 4, 4, 1, 2, 1, 4, 4, 4, 0, 1, 0, 0, 0, 4, 4, 4, 1, 4, 1, 1, 4, 0, 4]","[True, False, False, True, False, True, False, False, True, True, False, False, True, True, False, False, False, False, False, True, False, False, False, False]"
config-1,40,24,10,0.2,0.8,44140.46073747557,10300.844055984331,"[32, 21, 23, 11, 39, 18, 10, 24, 32, 15, 2, 39, 6, 31, 24, 11, 21, 32, 32, 17, 14, 33, 34, 24]","[0, 1, 4, 0, 4, 0, 4, 4, 4, 3, 1, 4, 0, 0, 4, 2, 1, 4, 4, 2, 4, 0, 4, 4]","[True, False, False, True, False, True, False, False, True, True, False, False, True, True, False, False, False, False, False, True, False, True, False, False]"
config-1,40,24,10,0.3,0.7,42969.09008105548,10904.992444953585,"[23, 34, 13, 4, 23, 37, 32, 1, 34, 9, 2, 21, 12, 10, 28, 14, 10, 2, 32, 14, 1, 26, 22, 39]","[0, 4, 0, 1, 4, 0, 4, 0, 3, 0, 1, 1, 0, 2, 0, 4, 4, 1, 4, 4, 0, 3, 1, 4]","[True, False, False, True, False, True, False, False, True, True, False, False, True, True, False, False, False, False, False, True, False, True, False, False]"
config-1,40,24,10,0.4,0.6,42787.77772311187,10814.479995053758,"[12, 32, 1, 39, 21, 22, 23, 14, 26, 38, 24, 2, 9, 39, 2, 11, 28, 24, 14, 0, 28, 6, 35, 10]","[0, 4, 0, 4, 1, 1, 4, 4, 3, 0, 4, 1, 0, 1, 1, 2, 0, 4, 4, 4, 0, 0, 3, 4]","[True, False, False, True, False, False, False, False, True, True, False, False, True, True, False, False, False, False, False, True, False, True, False, False]"
config-1,40,24,10,0.5,0.5,39688.823097185305,13024.74081651698,"[7, 32, 24, 26, 23, 19, 1, 2, 34, 34, 19, 39, 27, 14, 12, 35, 17, 21, 29, 31, 19, 6, 1, 12]","[0, 4, 4, 0, 4, 1, 0, 1, 3, 0, 3, 4, 1, 1, 0, 3, 2, 1, 3, 0, 3, 0, 0, 0]","[True, False, False, True, False, True, False, False, True, True, False, False, True, True, False, False, False, False, False, True, False, True, False, False]"
config-1,40,24,10,0.6,0.4,39978.39908863898,12174.350653369565,"[7, 23, 10, 26, 39, 10, 2, 11, 34, 32, 32, 24, 37, 1, 12, 22, 35, 39, 1, 34, 0, 11, 26, 23]","[0, 4, 4, 0, 4, 4, 1, 2, 3, 1, 4, 4, 0, 0, 0, 1, 3, 4, 0, 0, 4, 2, 3, 4]","[True, False, False, True, False, True, False, False, True, True, False, False, True, True, False, False, False, False, False, True, False, False, False, False]"
config-1,40,24,10,0.7,0.3,39429.474273283304,12564.25305847796,"[21, 11, 28, 0, 32, 32, 2, 23, 23, 15, 1, 26, 7, 14, 11, 14, 12, 11, 10, 27, 12, 33, 2, 19]","[0, 2, 0, 4, 4, 1, 1, 4, 4, 3, 0, 3, 0, 1, 2, 4, 0, 2, 4, 1, 0, 0, 1, 3]","[True, False, False, True, False, True, False, False, False, True, False, False, True, True, False, False, False, False, False, True, False, True, False, False]"
config-1,40,24,10,0.8,0.2,38605.46058422045,15225.024378186015,"[23, 2, 8, 29, 1, 32, 19, 23, 2, 7, 17, 2, 12, 21, 23, 32, 2, 12, 32, 27, 35, 31, 11, 26]","[0, 1, 3, 0, 0, 1, 3, 4, 1, 0, 2, 1, 0, 0, 4, 4, 1, 0, 4, 1, 3, 0, 2, 3]","[True, False, False, True, False, True, False, False, False, True, False, False, True, True, False, False, False, False, False, True, False, True, False, False]"
config-1,40,24,10,0.9,0.1,38912.22213670718,19071.065946426977,"[11, 0, 1, 29, 26, 14, 11, 39, 18, 22, 12, 2, 37, 10, 1, 26, 39, 0, 38, 26, 12, 0, 39, 12]","[0, 4, 0, 0, 3, 1, 2, 4, 0, 1, 0, 1, 0, 2, 0, 3, 4, 4, 0, 0, 0, 4, 4, 0]","[True, False, False, True, False, True, False, False, True, True, False, False, True, True, False, False, False, False, False, True, False, False, False, False]"
config-1,40,24,20,0.1,0.9,44290.2549649593,9284.281839346399,"[36, 32, 35, 9, 23, 33, 11, 14, 18, 34, 1, 2, 29, 31, 12, 21, 10, 39, 24, 25, 11, 32, 5, 14]","[0, 4, 3, 0, 4, 0, 2, 4, 0, 0, 0, 1, 0, 0, 0, 1, 4, 4, 4, 1, 2, 4, 4, 4]","[True, False, False, True, False, True, False, False, True, True, False, False, True, True, False, False, False, False, False, True, False, True, False, False]"
