config,physical_machines,services,generations,alpha,beta,latency,energy,placement_physical,placement_vm,is_perfect
config-1,4,8,0,0.5,0.5,14466.949313550333,1435.3320069978495,[0 1 2 0 0 3 2 2],[0 0 0 1 0 0 0 0],"[True, True, True, False, True, True, True, True]"
config-2,4,7,0,0.5,0.5,16861.76013319092,3374.2352005008206,[2 0 1 0 0 3 0],[1 0 0 0 0 0 0],"[True, True, True, False, True, True, True]"
config-3,3,5,0,0.5,0.5,12199.404367612755,871.0441563728915,[2 0 0 1 0],[1 0 1 0 0],"[True, True, False, True, True]"
config-4,4,7,0,0.5,0.5,32927.19341596757,7909.489815132935,[1 0 1 0 0 3 1],[1 0 0 0 1 0 1],"[True, True, True, False, True, True, True]"
config-5,4,8,0,0.5,0.5,47621.09671153876,10882.26533551593,[1 0 1 0 0 2 0 3],[0 0 0 1 0 0 0 0],"[True, True, True, False, True, True, True, True]"
config-6,4,6,0,0.5,0.5,22867.769792250183,3998.421240909808,[2 0 2 2 0 3],[0 1 0 0 0 0],"[True, True, True, False, True, True]"
config-7,3,7,0,0.5,0.5,42522.0697416125,17126.702969235885,[1 0 0 0 0 2 0],[0 0 0 0 0 0 0],"[True, True, False, True, True, True, True]"
config-8,3,7,0,0.5,0.5,19676.26127230614,2156.356801284674,[1 0 1 1 0 2 0],[1 0 1 0 0 0 0],"[True, True, False, True, True, True, True]"
config-9,3,6,0,0.5,0.5,21753.686210742882,3581.096431483801,[1 0 0 1 0 2],[0 0 0 0 0 0],"[True, True, False, True, True, True]"
config-10,4,5,0,0.5,0.5,14889.901943477422,1444.6528518211126,[3 0 3 2 0],[0 0 0 0 0],"[True, True, True, True, True]"
config-11,3,8,0,0.5,0.5,24853.041481103617,4431.858977398719,[0 0 1 0 0 1 0 2],[0 0 0 0 0 0 0 0],"[True, True, False, True, True, True, True, True]"
config-12,4,5,0,0.5,0.5,28240.46612435126,6752.5733046088735,[0 0 3 0 0],[1 0 0 0 1],"[True, True, True, False, True]"
config-13,3,5,0,0.5,0.5,15586.581920023315,1214.2363754373405,[2 0 1 1 0],[1 0 1 0 0],"[True, True, False, True, True]"
config-14,3,6,0,0.5,0.5,40184.516366528376,7165.300602012152,[2 0 1 1 0 2],[0 0 0 0 0 0],"[True, True, False, True, True, True]"
config-15,3,5,0,0.5,0.5,22421.920763864546,3845.6039648933474,[2 0 1 1 0],[0 0 0 0 0],"[True, True, False, True, True]"
config-16,3,6,0,0.5,0.5,33815.931170193246,4288.89015941498,[1 0 1 0 0 2],[0 0 0 0 0 0],"[True, True, False, True, True, True]"
config-17,3,8,0,0.5,0.5,29211.368272971584,6507.244420906729,[0 0 1 0 0 1 1 2],[0 0 0 1 0 0 0 0],"[True, True, False, True, True, True, True, True]"
config-18,3,5,0,0.5,0.5,11805.375067019671,823.2013411393891,[2 0 1 1 0],[1 0 0 0 0],"[True, True, False, True, True]"
config-19,3,5,0,0.5,0.5,14200.576639530209,1424.0908559990885,[2 0 1 1 0],[1 0 1 0 0],"[True, True, False, True, True]"
config-20,3,5,0,0.5,0.5,10791.88076565863,2092.3348116057446,[2 0 1 1 0],[1 0 0 0 0],"[True, True, False, True, True]"
config-21,3,7,0,0.5,0.5,38846.61580117871,6018.570934404202,[1 0 1 0 0 2 0],[1 0 0 0 0 0 0],"[True, True, False, True, True, True, True]"
config-22,4,8,0,0.5,0.5,24389.06899642567,2456.3060870188215,[0 0 2 0 0 3 2 3],[0 0 0 1 0 0 0 0],"[True, True, True, False, True, True, True, True]"
config-23,3,8,0,0.5,0.5,25215.346416846805,2996.3627011830076,[0 0 1 1 0 1 0 2],[0 0 0 0 0 0 0 0],"[True, True, False, True, True, True, True, True]"
