config,physical_machines,services,generations,alpha,beta,latency,energy,placement_physical,placement_vm,is_perfect
config-1,4,8,0,0.5,0.5,13393.193321005172,5348.124883763048,"[0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 0, 0, 0, 1, 1]","[False, True, True, True, True, True, True, False]"
config-2,4,7,0,0.5,0.5,14465.718372531985,3449.793095568342,"[0, 0, 0, 0, 0, 2, 2]","[0, 0, 0, 0, 0, 0, 0]","[False, True, True, True, True, True, True]"
config-3,3,5,0,0.5,0.5,9842.159456367131,2402.566840679182,"[0, 0, 0, 0, 0]","[0, 1, 1, 1, 0]","[True, True, True, True, True]"
config-4,4,7,0,0.5,0.5,17294.514364246093,9600.645113058621,"[2, 2, 2, 1, 2, 1, 0]","[0, 0, 0, 1, 0, 1, 1]","[True, False, False, True, True, False, True]"
config-5,4,8,0,0.5,0.5,21907.808220731462,9759.518940973834,"[2, 0, 0, 0, 0, 0, 2, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[True, False, False, True, False, True, True, False]"
config-6,4,6,0,0.5,0.5,10240.539369614706,2213.8446136599655,"[1, 1, 0, 1, 1, 1]","[0, 0, 0, 0, 0, 0]","[True, True, True, True, True, True]"
config-7,3,7,0,0.5,0.5,28101.555587096052,16636.192557434595,"[1, 1, 1, 1, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0]","[False, True, False, False, False, True, False]"
config-8,3,7,0,0.5,0.5,18636.409565853548,5087.086224756997,"[1, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 1, 0]","[True, False, True, True, False, True, False]"
config-9,3,6,0,0.5,0.5,15042.322848806047,3456.250330000288,"[0, 1, 1, 0, 1, 0]","[0, 0, 0, 0, 0, 0]","[False, True, True, False, True, True]"
config-10,4,5,0,0.5,0.5,8455.06829690677,2109.934385134721,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 0]","[False, True, True, True, True]"
config-11,3,8,0,0.5,0.5,14202.913310239734,4558.7511782259,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[True, True, False, False, True, False, True, True]"
config-12,4,5,0,0.5,0.5,9325.56297475986,1813.809091206228,"[1, 1, 1, 1, 1]","[1, 1, 0, 0, 1]","[False, True, True, True, True]"
config-13,3,5,0,0.5,0.5,7613.165043075142,2118.5793250800816,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[True, False, True, False, True]"
config-14,3,6,0,0.5,0.5,17060.3871374725,7962.015038503248,"[1, 1, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 0]","[True, True, True, True, False, True]"
config-15,3,5,0,0.5,0.5,20093.773890315915,11656.517715252703,"[0, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[False, False, False, True, False]"
config-16,3,6,0,0.5,0.5,15604.794245477959,3655.2622131463677,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[True, False, False, True, True, False]"
config-17,3,8,0,0.5,0.5,12500.583259275492,4983.755473269222,"[0, 0, 1, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0]","[True, True, True, True, True, True, True, True]"
config-18,3,5,0,0.5,0.5,8190.960374940628,1364.213927301272,"[1, 1, 0, 0, 0]","[0, 0, 1, 1, 1]","[True, True, True, True, False]"
config-19,3,5,0,0.5,0.5,7308.376213533126,2239.152538332689,"[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[True, False, True, True, True]"
config-20,3,5,0,0.5,0.5,11595.700319669615,3757.0697470900086,"[1, 1, 0, 0, 1]","[0, 0, 0, 0, 0]","[True, True, True, True, False]"
config-21,3,7,0,0.5,0.5,27312.931331657273,6920.806128279229,"[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","[False, True, False, False, False, False, True]"
config-22,4,8,0,0.5,0.5,10280.40766930827,4243.978622011334,"[1, 1, 1, 0, 1, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 1, 1]","[True, True, True, True, True, True, True, True]"
config-23,3,8,0,0.5,0.5,9364.474326443757,3413.76500859631,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[True, True, True, True, True, True, True, True]"
