config,physical_machines,services,generations,alpha,beta,latency,energy,placement_physical,placement_vm,is_perfect
config-1,4,8,10,0.1,0.9,18062.044573407376,3655.0907972598566,"[2, 0, 0, 1, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 1, 0]","[False, True, True, True, True, True, True, False]"
config-1,4,8,10,0.2,0.8,18062.044573407376,3655.0907972598566,"[2, 0, 0, 1, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 1, 0]","[False, True, True, True, True, True, True, False]"
config-1,4,8,10,0.3,0.7,18062.044573407376,3655.0907972598566,"[2, 0, 0, 1, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 1, 0]","[False, True, True, True, True, True, True, False]"
config-1,4,8,10,0.4,0.6,18062.044573407376,3655.0907972598566,"[2, 0, 0, 1, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 1, 0]","[False, True, True, True, True, True, True, False]"
config-1,4,8,10,0.5,0.5,18062.044573407376,3655.0907972598566,"[2, 0, 0, 1, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 1, 0]","[False, True, True, True, True, True, True, False]"
config-1,4,8,10,0.6,0.4,17423.823456608283,4440.0849252793,"[2, 0, 0, 0, 0, 1, 0, 2]","[0, 1, 0, 0, 0, 0, 1, 0]","[False, True, True, True, True, True, True, False]"
config-1,4,8,10,0.7,0.3,17423.823456608283,4440.0849252793,"[2, 0, 0, 0, 0, 1, 0, 2]","[0, 1, 0, 0, 0, 0, 1, 0]","[False, True, True, True, True, True, True, False]"
config-1,4,8,10,0.8,0.2,17441.454650926607,4468.136545241938,"[2, 0, 0, 1, 0, 0, 0, 2]","[0, 1, 0, 0, 0, 0, 1, 0]","[False, True, True, True, True, True, True, False]"
config-1,4,8,10,0.9,0.1,17265.20793616285,5366.485909561212,"[2, 0, 2, 0, 0, 1, 0, 2]","[0, 1, 0, 0, 0, 0, 1, 0]","[False, True, True, True, True, True, True, False]"
config-1,4,8,20,0.1,0.9,18062.044573407376,3655.0907972598566,"[2, 0, 0, 1, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 1, 0]","[False, True, True, True, True, True, True, False]"
config-1,4,8,20,0.2,0.8,18062.044573407376,3655.0907972598566,"[2, 0, 0, 1, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 1, 0]","[False, True, True, True, True, True, True, False]"
config-1,4,8,20,0.3,0.7,18062.044573407376,3655.0907972598566,"[2, 0, 0, 1, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 1, 0]","[False, True, True, True, True, True, True, False]"
config-1,4,8,20,0.4,0.6,18062.044573407376,3655.0907972598566,"[2, 0, 0, 1, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 1, 0]","[False, True, True, True, True, True, True, False]"
config-1,4,8,20,0.5,0.5,18062.044573407376,3655.0907972598566,"[2, 0, 0, 1, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 1, 0]","[False, True, True, True, True, True, True, False]"
config-1,4,8,20,0.6,0.4,17423.823456608283,4440.0849252793,"[2, 0, 0, 0, 0, 1, 0, 2]","[0, 1, 0, 0, 0, 0, 1, 0]","[False, True, True, True, True, True, True, False]"
config-1,4,8,20,0.7,0.3,17423.823456608283,4440.0849252793,"[2, 0, 0, 0, 0, 1, 0, 2]","[0, 1, 0, 0, 0, 0, 1, 0]","[False, True, True, True, True, True, True, False]"
config-1,4,8,20,0.8,0.2,17423.823456608283,4440.0849252793,"[2, 0, 0, 0, 0, 1, 0, 2]","[0, 1, 0, 0, 0, 0, 1, 0]","[False, True, True, True, True, True, True, False]"
config-1,4,8,20,0.9,0.1,17265.20793616285,5366.485909561212,"[2, 0, 2, 0, 0, 1, 0, 2]","[0, 1, 0, 0, 0, 0, 1, 0]","[False, True, True, True, True, True, True, False]"
config-1,4,8,50,0.1,0.9,18062.044573407376,3655.0907972598566,"[2, 0, 0, 1, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 1, 0]","[False, True, True, True, True, True, True, False]"
config-1,4,8,50,0.2,0.8,18062.044573407376,3655.0907972598566,"[2, 0, 0, 1, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 1, 0]","[False, True, True, True, True, True, True, False]"
config-1,4,8,50,0.3,0.7,18062.044573407376,3655.0907972598566,"[2, 0, 0, 1, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 1, 0]","[False, True, True, True, True, True, True, False]"
config-1,4,8,50,0.4,0.6,18062.044573407376,3655.0907972598566,"[2, 0, 0, 1, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 1, 0]","[False, True, True, True, True, True, True, False]"
config-1,4,8,50,0.5,0.5,18062.044573407376,3655.0907972598566,"[2, 0, 0, 1, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 1, 0]","[False, True, True, True, True, True, True, False]"
config-1,4,8,50,0.6,0.4,17423.823456608283,4440.0849252793,"[2, 0, 0, 0, 0, 1, 0, 2]","[0, 1, 0, 0, 0, 0, 1, 0]","[False, True, True, True, True, True, True, False]"
config-1,4,8,50,0.7,0.3,17423.823456608283,4440.0849252793,"[2, 0, 0, 0, 0, 1, 0, 2]","[0, 1, 0, 0, 0, 0, 1, 0]","[False, True, True, True, True, True, True, False]"
config-1,4,8,50,0.8,0.2,17423.823456608283,4440.0849252793,"[2, 0, 0, 0, 0, 1, 0, 2]","[0, 1, 0, 0, 0, 0, 1, 0]","[False, True, True, True, True, True, True, False]"
config-1,4,8,50,0.9,0.1,17265.20793616285,5366.485909561212,"[2, 0, 2, 0, 0, 1, 0, 2]","[0, 1, 0, 0, 0, 0, 1, 0]","[False, True, True, True, True, True, True, False]"
config-1,4,8,100,0.1,0.9,18403.169231404536,3598.1738448852366,"[2, 0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 1, 0]","[False, True, True, True, True, True, True, False]"
config-1,4,8,100,0.2,0.8,18062.044573407376,3655.0907972598566,"[2, 0, 0, 1, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 1, 0]","[False, True, True, True, True, True, True, False]"
config-1,4,8,100,0.3,0.7,18062.044573407376,3655.0907972598566,"[2, 0, 0, 1, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 1, 0]","[False, True, True, True, True, True, True, False]"
config-1,4,8,100,0.4,0.6,18062.044573407376,3655.0907972598566,"[2, 0, 0, 1, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 1, 0]","[False, True, True, True, True, True, True, False]"
config-1,4,8,100,0.5,0.5,18062.044573407376,3655.0907972598566,"[2, 0, 0, 1, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 1, 0]","[False, True, True, True, True, True, True, False]"
config-1,4,8,100,0.6,0.4,17423.823456608283,4440.0849252793,"[2, 0, 0, 0, 0, 1, 0, 2]","[0, 1, 0, 0, 0, 0, 1, 0]","[False, True, True, True, True, True, True, False]"
config-1,4,8,100,0.7,0.3,17423.823456608283,4440.0849252793,"[2, 0, 0, 0, 0, 1, 0, 2]","[0, 1, 0, 0, 0, 0, 1, 0]","[False, True, True, True, True, True, True, False]"
config-1,4,8,100,0.8,0.2,17423.823456608283,4440.0849252793,"[2, 0, 0, 0, 0, 1, 0, 2]","[0, 1, 0, 0, 0, 0, 1, 0]","[False, True, True, True, True, True, True, False]"
config-1,4,8,100,0.9,0.1,17265.20793616285,5366.485909561212,"[2, 0, 2, 0, 0, 1, 0, 2]","[0, 1, 0, 0, 0, 0, 1, 0]","[False, True, True, True, True, True, True, False]"
config-1,4,8,200,0.1,0.9,18403.169231404536,3598.1738448852366,"[2, 0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 1, 0]","[False, True, True, True, True, True, True, False]"
config-1,4,8,200,0.2,0.8,18062.044573407376,3655.0907972598566,"[2, 0, 0, 1, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 1, 0]","[False, True, True, True, True, True, True, False]"
config-1,4,8,200,0.3,0.7,18062.044573407376,3655.0907972598566,"[2, 0, 0, 1, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 1, 0]","[False, True, True, True, True, True, True, False]"
config-1,4,8,200,0.4,0.6,18062.044573407376,3655.0907972598566,"[2, 0, 0, 1, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 1, 0]","[False, True, True, True, True, True, True, False]"
config-1,4,8,200,0.5,0.5,18062.044573407376,3655.0907972598566,"[2, 0, 0, 1, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 1, 0]","[False, True, True, True, True, True, True, False]"
